,device_id,timestampI,timestampF,MAC,RSSI,channel,latitudeI,longitudeI,latitudeF,longitudeF,cnt_pckg,id,duration,ts_sort,distancias
110345,,2021-06-15 12:53:05,2021-06-15 12:54:58,50:92:b9:c0:4f:42,-85,6,-22.825332999999997,-47.066446,-22.831135999999997,-47.063918,182,196,113,2021-06-15 12:53:05,0.6953351957249078
110374,,2021-06-15 12:53:38,2021-06-15 12:54:58,cc:88:26:49:cd:1c,-79,1,-22.826207,-47.067644,-22.831135999999997,-47.063918,31,225,80,2021-06-15 12:53:38,0.6679886775241133
111614,,2021-06-15 13:35:59,2021-06-15 13:42:54,04:c8:07:92:42:0c,-46,6,-22.815744,-47.072661,-22.828176000000003,-47.066608,54,5,415,2021-06-15 13:35:59,1.5151993728133863
111615,,2021-06-15 13:36:00,2021-06-15 13:41:36,06:33:04:67:26:62,-37,6,-22.815676999999997,-47.072645,-22.824928,-47.065571000000006,123,6,336,2021-06-15 13:36:00,1.2584962632822005
112650,,2021-06-15 14:31:15,2021-06-15 14:39:39,d0:9c:7a:ac:8b:59,-53,6,-22.815334,-47.072471,-22.829463,-47.063901,80,6,504,2021-06-15 14:31:15,1.799931772331081
114258,,2021-06-15 15:28:26,2021-06-15 15:31:23,b0:f1:ec:cd:07:aa,-93,1,-22.825332999999997,-47.066376,-22.830629000000002,-47.062159,40,118,177,2021-06-15 15:28:26,0.7304597734663487
118723,,2021-06-16 07:41:29,2021-06-16 07:46:03,f0:d7:aa:05:66:18,-62,4,-22.829525,-47.063728000000005,-22.823211999999998,-47.068602,37,315,274,2021-06-16 07:41:29,0.8615620561672218
118859,,2021-06-16 07:48:29,2021-06-16 07:49:59,ae:10:56:37:67:72,-88,1,-22.818184,-47.06369,-22.813228,-47.063468,40,451,90,2021-06-16 07:48:29,0.5515523635174289
121563,,2021-06-16 11:03:50,2021-06-16 11:10:43,50:92:b9:6d:df:78,-85,1,-22.816337,-47.072477,-22.821237,-47.067895,191,3,413,2021-06-16 11:03:50,0.7193132414705655
121809,,2021-06-16 11:13:52,2021-06-16 11:15:14,d0:77:14:71:43:13,-90,1,-22.826223000000002,-47.067677,-22.829007,-47.065896,107,247,82,2021-06-16 11:13:52,0.3593716981194591
126488,,2021-06-16 13:55:27,2021-06-16 13:58:24,38:80:df:af:87:5a,-95,6,-22.813838,-47.0599,-22.813734,-47.064802,121,487,177,2021-06-16 13:55:27,0.5025698127032924
134749,,2021-06-17 07:41:37,2021-06-17 07:49:42,f0:d7:aa:05:66:18,-93,1,-22.829371,-47.065554,-22.820813,-47.066685,118,202,485,2021-06-17 07:41:37,0.9586411242629665
134985,,2021-06-17 08:00:15,2021-06-17 08:01:21,50:92:b9:05:0b:20,-94,6,-22.813904,-47.070863,-22.816469,-47.072814,46,463,66,2021-06-17 08:00:15,0.3483318618390416
136338,,2021-06-17 11:05:20,2021-06-17 11:10:53,30:4b:07:ce:9a:01,-60,11,-22.815904,-47.07264,-22.824519,-47.064811999999996,154,0,333,2021-06-17 11:05:20,1.249539874965324
136341,,2021-06-17 11:05:23,2021-06-17 11:10:30,48:49:c7:19:22:fa,-53,6,-22.815704,-47.072612,-22.824382,-47.064876,101,3,307,2021-06-17 11:05:23,1.2489117831183134
136352,,2021-06-17 11:05:40,2021-06-17 11:08:06,8a:62:c8:e6:67:66,-56,6,-22.815014,-47.072318,-22.819418,-47.067168,64,14,146,2021-06-17 11:05:40,0.7200186764173387
139907,,2021-06-17 13:32:02,2021-06-17 13:38:12,04:c8:07:92:42:0c,-58,11,-22.816001999999997,-47.072662,-22.826736,-47.067683,131,0,370,2021-06-17 13:32:02,1.2980798102762166
140009,,2021-06-17 13:37:10,2021-06-17 13:39:22,7c:2a:db:75:65:7b,-92,1,-22.824865,-47.065488,-22.829381,-47.065422,109,102,132,2021-06-17 13:37:10,0.5022025366762085
140015,,2021-06-17 13:37:12,2021-06-17 13:41:47,48:90:2f:a7:26:86,-94,11,-22.824911,-47.065594,-22.829454000000002,-47.064817,190,108,275,2021-06-17 13:37:12,0.5113971904714685
140016,,2021-06-17 13:37:12,2021-06-17 13:40:20,12:7e:6b:69:28:a9,-96,1,-22.824911,-47.065594,-22.831885,-47.062195,48,109,188,2021-06-17 13:37:12,0.8501215415669326
140017,,2021-06-17 13:37:13,2021-06-17 13:39:57,50:92:b9:0e:74:a8,-86,2,-22.824935999999997,-47.065633,-22.831456,-47.063243,42,110,164,2021-06-17 13:37:13,0.7652509253242518
140034,,2021-06-17 13:37:23,2021-06-17 13:41:43,16:1f:67:a6:37:b6,-87,6,-22.825123,-47.065967,-22.829454000000002,-47.064689,51,127,260,2021-06-17 13:37:23,0.4990791645153371
140062,,2021-06-17 13:37:51,2021-06-17 13:41:42,70:fd:46:0f:0d:76,-75,13,-22.825703,-47.066843,-22.829453,-47.06465,31,155,231,2021-06-17 13:37:51,0.4736949238502968
141668,,2021-06-17 14:37:18,2021-06-17 14:40:45,96:62:bc:5a:1a:fb,-94,9,-22.824999,-47.06566,-22.831394,-47.063573999999996,31,234,207,2021-06-17 14:37:18,0.7425338074278683
141676,,2021-06-17 14:37:29,2021-06-17 14:40:49,68:7d:6b:32:d0:3f,-88,1,-22.825222,-47.066144,-22.831395,-47.063584999999996,67,242,200,2021-06-17 14:37:29,0.7348028252873833
141677,,2021-06-17 14:37:29,2021-06-17 14:40:46,7c:8b:b5:70:89:8b,-90,1,-22.825222,-47.066144,-22.831394,-47.063576,41,243,197,2021-06-17 14:37:29,0.7350287109934353
141681,,2021-06-17 14:37:30,2021-06-17 14:40:55,7e:b7:1d:0e:5d:02,-83,1,-22.825245000000002,-47.066205,-22.831394,-47.063595,78,247,205,2021-06-17 14:37:30,0.7341985783106296
